weight_config,seed,split,task,component,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%],N cells,N points
soh50,44,val,R1,SOC90_R1,0.3488947563055478,0.3189487477468588,0.44572057097411766,0.813064456937648,4.563716319396051,3.714331301036703,6.934145888914445,0.7236494515583054,13.15403872368306,44,467
soh50,44,val,R2,SOC10_R2,0.3380659949005963,0.3514651947967673,0.7046746851508451,0.7685391407103361,0.5104941091233423,0.5286064716062282,1.119725563668426,0.712389334187798,5.141725731254558,45,634
soh50,44,val,R2,SOC50_R2,0.3000550308799583,0.3031327539829478,0.6087414844092738,0.7114865222065007,0.16977112482831797,0.1728451797495549,0.3880877453073874,0.650487686760594,3.0940481630113297,45,630
soh50,44,val,R2,SOC90_R2,0.20023716988954673,0.16880229311502729,0.3049174651755583,0.8042559338987882,0.2500405171907489,0.20984991578237058,0.4380545626973536,0.7335775208599666,4.1093157677252075,42,382
soh50,44,test,SOH,SOH,0.10238119705361269,0.10327491201640038,0.17836621889493623,0.9428355238298031,1.0747846954226632,1.0841668006501632,1.8724657238408542,0.9428355238298031,1.5284906691502032,45,622
soh50,44,test,R0,SOC10_R0,0.19627102459841486,0.1884058239724586,0.26882889163117385,0.8965465618353071,1.333478652118622,1.3246282264481715,1.9640840893183915,0.8871866075086288,4.396526359072298,45,614
soh50,44,test,R0,SOC50_R0,0.1621569775570998,0.16471642797256067,0.2474137938166066,0.910995714062769,1.1437616370973747,1.18800976361806,1.8818422851672494,0.8978941472496511,3.883429102401534,45,616
soh50,44,test,R0,SOC90_R0,0.38812264124000884,0.3680611313250284,0.6028761025573324,0.46139412720854145,3.1697139751769674,3.1107177916374256,4.532371371369166,0.490159698306053,11.356663523014943,45,558
soh50,44,test,R1,SOC10_R1,0.28763695001565603,0.2908121657012362,0.4601760531868619,0.8825212934151898,0.9912231058476034,0.9884149461307741,1.8162525778383771,0.8657800723037652,4.490591713042821,45,613
soh50,44,test,R1,SOC50_R1,0.2869186012978936,0.29763942793461073,0.4904683208500901,0.8329024962010071,0.7314454201284878,0.7629606149613448,1.4766640731330942,0.7924378950806908,5.112838322917899,45,616
soh50,44,test,R1,SOC90_R1,0.2825995661134438,0.27894042144540837,0.3713657595022559,0.8038831987448666,3.028201426395528,2.739143253517742,4.0506017407112305,0.7651290928468449,11.110690074632016,44,450
soh50,44,test,R2,SOC10_R2,0.2799081080197259,0.30171755073008255,0.6247009417026544,0.7804616070605173,0.3908936036008898,0.41215633821969055,0.81444888493412,0.7819894435635301,4.115311089228504,45,603
soh50,44,test,R2,SOC50_R2,0.2239766043098125,0.22564088240822075,0.39321265941272093,0.844300869657775,0.11945617541132858,0.12115095895965895,0.22667751601301056,0.8258863020387245,2.393411485830208,45,599
soh50,44,test,R2,SOC90_R2,0.15860553142134623,0.16177451631575232,0.24897949526459073,0.8634684061780117,0.18802985784199663,0.19550519286245197,0.32146335349367816,0.8341483352966594,3.2115498281127817,39,379
soh50,45,val,SOH,SOH,0.10091878468921392,0.10256325820949086,0.1737400947986272,0.9496502807188801,1.0594324777021604,1.0766959501217683,1.8239012655132643,0.9496502807188801,1.5177554984361412,45,662
soh50,45,val,R0,SOC10_R0,0.19640560042729424,0.19500919096846675,0.34482892924936237,0.8258959593487918,1.2971253410852261,1.3069800852538183,2.2778531026290887,0.8419197811664286,4.437816664736689,45,659
soh50,45,val,R0,SOC50_R0,0.16305853756467867,0.16330710390588343,0.2983445507244596,0.8774032993567513,1.123844225095761,1.1538290236840574,2.2813960645383546,0.8607758836506902,3.8877015926884706,45,658
