weight_config,task,horizon,MAE_std_mean,MAE_std_std,RMSE_std_mean,RMSE_std_std,MAE_phys_mean,MAE_phys_std,RMSE_phys_mean,RMSE_phys_std,N_component_min,N_component_max
soh50,R2,11,0.2930484298939293,0.02549995306557028,0.4756022455049213,0.021003400376367925,0.3198841851591478,0.03667949461462349,0.5139153912821014,0.031712951010518374,19,41
soh50,R2,12,0.39325748079332884,0.02339376108447155,0.703830957338494,0.03491001522304212,0.4211501004492105,0.026324853729121352,0.7378813620029507,0.0407212417819755,15,31
soh50,R2,13,0.36243008874932847,0.028695509515598096,0.5883856890364131,0.04371324382354029,0.40392360328670485,0.04231459328248299,0.6824540935772291,0.06188200632549567,13,32
soh50,R2,14,0.36753900173973536,0.02638726360762465,0.6074003035897052,0.03148762125402852,0.4057030029125803,0.03624071002650966,0.6989187456721159,0.03632781622294521,9,24
soh50,R2,15,0.31813434299403504,0.020430277836080077,0.5091967574653878,0.024986774363742886,0.3405518577074736,0.02356123653708901,0.5543417267527699,0.023797379440066366,12,27
soh50,R2,16,0.36412596460324276,0.05977485920750885,0.559545320277346,0.06417359651466566,0.41235532157250193,0.07572103906892295,0.6473434179137378,0.0820899330454427,9,23
soh50,R2,17,0.33142814253057756,0.04445621041359486,0.3907949632353739,0.05697405619386775,0.3328900343604316,0.04668486641874426,0.38008273192371866,0.06046973019739834,1,7
soh50,R2,18,0.2048410912354787,0.040323327528919775,0.2550002321237784,0.05205372081844397,0.13866451026018609,0.036820975990371624,0.1670380213198778,0.04849834814199194,3,3
soh50,SOH,1,0.05441883276320166,0.00931347250550268,0.08791221678933571,0.01119602181361502,0.5712819373075563,0.09777164165127171,0.9228911935497157,0.11753440320286873,45,45
soh50,SOH,2,0.06606216645747838,0.009618626206384802,0.11691112603395468,0.009521205941725381,0.6935121633494976,0.10097510612422475,1.2273180291115833,0.09995240066176418,45,45
soh50,SOH,3,0.07479433379653427,0.010979517875021239,0.1370541905220832,0.010507726698591468,0.7851813378071115,0.11526157258166143,1.4387773405261137,0.11030876923050896,45,45
soh50,SOH,4,0.07078154392185665,0.015572524445289693,0.1330435580931182,0.015462570181884691,0.7430555835927695,0.16347836736200755,1.396674234900573,0.1623240815858585,42,42
soh50,SOH,5,0.07686502637751844,0.01633251485185086,0.1371398753099196,0.019122449881255117,0.8069192033431201,0.17145664932341365,1.4396768484557663,0.2007450299745705,42,42
soh50,SOH,6,0.09183547295452583,0.015501584813136845,0.15728625202858731,0.0171723641761251,0.9640770343478149,0.16273365218841174,1.651170931242321,0.18027327997599715,42,42
soh50,SOH,7,0.1057554532463352,0.018517838989862704,0.1869184799366784,0.015756373122136503,1.1102072048163956,0.1943979022650344,1.9622462650286132,0.16540838722732779,42,42
soh50,SOH,8,0.11105057299137115,0.020902550401159375,0.19294475174471903,0.02102473638886446,1.1657946937907133,0.2194322972674612,2.025509294726806,0.220714990118882,42,42
soh50,SOH,9,0.12288428704913071,0.018890299733019946,0.2045045956203783,0.024111789438436844,1.2900235085078116,0.1983079474482497,2.146863055344861,0.25312247769592994,41,41
soh50,SOH,10,0.13279064668387902,0.023799035601426922,0.22133771354934764,0.02528638044712278,1.3940192033149819,0.2498392279672034,2.3235749716631178,0.2654531836834337,41,41
soh50,SOH,11,0.13437032786470543,0.02036875274128599,0.21084688658918696,0.021411661748952742,1.4106024940525412,0.21382855779385565,2.2134436137224234,0.22477688299825496,41,41
soh50,SOH,12,0.13818355781259015,0.01801214999630324,0.2186154879884145,0.017368765380286037,1.4506332937116582,0.18908924397071178,2.2949973963408903,0.1823350746655461,32,32
soh50,SOH,13,0.13919978842604905,0.019866995797207247,0.2180973554790404,0.019802047487945534,1.461301552550181,0.20856117765143198,2.2895581076111005,0.20787935861827908,32,32
soh50,SOH,14,0.1363625968324727,0.01533981345832874,0.21467176090698797,0.020672132647864015,1.4315170785401645,0.1610353972225662,2.2535966544857104,0.21701340120136295,29,29
soh50,SOH,15,0.14341648105118007,0.01994084216471626,0.2219984584057444,0.02416755039520632,1.5055678517263789,0.2093364073605519,2.330511386548584,0.2537078490791792,27,27
soh50,SOH,16,0.15629807002842427,0.028076454661786023,0.23536197043064178,0.02978631848689368,1.6407971231541905,0.2947430254836145,2.470799824414134,0.31269295694925475,24,24
soh50,SOH,17,0.1420564923967634,0.04141693112082061,0.18952085474517186,0.03960789578343119,1.4912908649965781,0.4347896389287407,1.9895656625001792,0.41579861762737075,7,7
soh50,SOH,18,0.07552969455718994,0.030973776685906913,0.08591910850512792,0.02437266218846812,0.7929010608999467,0.32515874105300296,0.9019677980255842,0.2558610864176053,3,3
