电芯编号,电芯文件夹,文件数量,成功读取文件数,通过筛选的 SOH 数量,初始 SOH,最终 SOH,SOH 覆盖范围,SOH 覆盖跨度,温度,工况,是否存在缺失或异常,异常说明,最终 SOH 分组,工况分组
133,METABatt_Sony_Murata_18650VTC6_133,22,22,14,95.7,68.0,68.0–95.7,27.700000000000003,19.62–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 8 个,60–70,"PUL, PAU"
134,METABatt_Sony_Murata_18650VTC6_134,30,30,21,96.0,62.4,62.4–96.0,33.6,24.75–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 8 个,60–70,"PUL, PAU"
135,METABatt_Sony_Murata_18650VTC6_135,6,6,6,96.4,90.1,90.1–96.4,6.300000000000011,24.19–25.88,"PUL, PAU",False,无,90–95,"PUL, PAU"
136,METABatt_Sony_Murata_18650VTC6_136,5,5,5,96.1,93.3,93.3–96.1,2.799999999999997,24.06–25.50,"PUL, PAU",False,无,90–95,"PUL, PAU"
137,METABatt_Sony_Murata_18650VTC6_137,29,29,12,96.0,61.1,61.1–96.0,34.9,24.81–26.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,60–70,"PUL, PAU"
138,METABatt_Sony_Murata_18650VTC6_138,30,30,0,96.3,81.4,81.4–96.3,14.899999999999991,24.81–26.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,80–85,"PUL, PAU"
139,METABatt_Sony_Murata_18650VTC6_139,24,24,24,96.2,77.3,77.3–96.2,18.900000000000006,24.69–29.12,"PUL, PAU",False,无,75–80,"PUL, PAU"
140,METABatt_Sony_Murata_18650VTC6_140,5,5,5,89.3,85.1,85.1–89.3,4.200000000000003,24.38–25.75,"PUL, PAU",False,无,85–90,"PUL, PAU"
141,METABatt_Sony_Murata_18650VTC6_141,30,30,0,95.9,61.2,61.2–95.9,34.7,24.81–26.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,60–70,"PUL, PAU"
142,METABatt_Sony_Murata_18650VTC6_142,30,30,12,96.5,61.9,61.9–96.5,34.6,24.81–26.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
143,METABatt_Sony_Murata_18650VTC6_143,30,30,0,96.2,63.1,63.1–96.2,33.1,24.81–26.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,60–70,"PUL, PAU"
146,METABatt_Sony_Murata_18650VTC6_146,22,22,22,96.3,75.1,75.1–96.3,21.200000000000003,19.94–25.88,"PUL, PAU",False,无,75–80,"PUL, PAU"
