Battery_ID,筛选分类,split,ordinal,SOH,capacity_SOH,10%_CHA_1.5A__R0,10%_CHA_3.0A__R0,50%_CHA_1.5A__R0,50%_CHA_3.0A__R0,50%_DCH_3.0A__R0,90%_CHA_1.5A__R0,90%_DCH_3.0A__R0,10%_CHA_1.5A__R1,10%_CHA_3.0A__R1,50%_CHA_1.5A__R1,50%_CHA_3.0A__R1,50%_DCH_3.0A__R1,90%_CHA_1.5A__R1,90%_DCH_3.0A__R1,10%_CHA_1.5A__R2,10%_CHA_3.0A__R2,50%_CHA_1.5A__R2,50%_CHA_3.0A__R2,50%_DCH_3.0A__R2,90%_CHA_1.5A__R2,90%_DCH_3.0A__R2
338,A完整,train,23,55.7,55.7,41.0059522594755,,42.07170113245668,,,45.19073813715445,,15.316968372964403,,13.826641904000248,,,,,6.182650155647011,,5.775522276309623,,,,
338,A完整,train,24,55.3,55.3,42.01245953132393,,42.11101962698373,,,50.60966053711832,,14.789933619620152,,14.311859052636285,,,,,6.170499021846622,,5.825368767652338,,,,
338,A完整,train,25,54.9,54.9,45.45375027339255,39.64982952143148,40.49551517902508,46.98484597919232,42.11459658117021,,49.49698406364848,12.99708045212096,16.18528742623838,18.6916697769322,11.896875143164856,17.047963717952275,,34.52916081816119,,5.612413753122117,,,7.328202621332512,,8.188571524772314
338,A完整,train,26,54.5,54.5,42.45989844161048,41.44836967964933,43.67218864978854,40.85189414389125,43.40180531347714,,43.26298364282189,14.928494012572818,15.076582990807996,14.359355511517686,16.31347092976123,16.346127216921087,,41.55041025587831,5.723163462532092,,5.792154122433696,5.02428428125018,7.344155305742853,,8.274483243602345
338,A完整,train,27,54.4,54.4,44.356335929369074,42.30098202575154,37.422500725335766,41.56921123247326,42.7991862755375,,46.06041236232178,14.654398455974889,16.380142256069487,22.238416036615373,16.973719842532578,18.64935778279026,,41.20476621119489,5.717525072211169,5.714009670718612,5.889418605724249,5.077305559209773,7.588443619091646,,8.632384252865597
339,A完整,train,1,96.9,96.9,18.79543347286761,18.577538488683885,16.86928098528747,16.977858903049118,16.490663997667294,18.59524342729956,18.87516080588588,16.54383443398995,16.035582417448904,8.886269863084193,8.700538568836173,9.516226292484664,10.643022861902748,11.30128804871823,11.071055582076342,9.825334694134892,3.957701768149573,3.680636613012872,4.2872563195657065,3.4877226703485427,3.9627327203935088
339,A完整,train,2,96.5,96.5,18.720526051711666,19.28058834253499,16.53667771887305,16.796474707184803,16.79796677417522,19.43844130657087,19.537237497589707,17.371338946066935,16.0202733630305,9.391147899389548,9.185066271981134,9.473225015895451,10.33602907389038,11.099181860453044,11.183187412922644,9.926455256976457,4.005281901410005,3.730611666705307,4.2863158073819765,3.5721013269955777,3.923619493327577
339,A完整,train,3,94.8,94.8,19.19734988959893,19.22562988211657,16.786969244130777,17.183772934116554,17.179513924979474,19.866673214707,19.815731316258866,16.935505369649103,16.140833215365937,9.354212921107878,8.988883592792318,9.365656991599971,10.610317453046337,11.409638234910702,10.991068589486105,9.87945448739625,3.94218186898989,3.705241272642785,4.276367286538785,3.612762963623117,3.929950956126905
339,A完整,train,4,93.1,93.1,18.42398388564299,19.345964942323818,17.296688366140188,17.198819972386843,17.661437214186122,20.083486079168075,20.283149071770072,17.71831712127292,16.174679538491493,9.30864911988984,9.384894195036392,9.218473409545462,11.213936915044052,11.647442150145864,10.899160233300876,9.761823661672617,3.9275925671080034,3.660671748611208,4.23903489118696,3.699744362261642,3.9728779363385
339,A完整,train,5,90.0,90.0,20.07934150001456,19.966666760100274,17.86546406301267,18.192394927920983,17.97296006148812,21.73880978789095,21.780230676498828,16.424220413447415,15.870372774156753,9.507854880898629,9.276141342697276,9.820406858891952,11.414354691905595,11.906272064976706,10.71615817362702,9.642273795877058,4.004571878789422,3.662116841011673,4.287372748351475,3.921989213552296,4.029770803584409
