Battery_ID,筛选分类,split,ordinal,SOH,capacity_SOH,SOC10_R0,SOC50_R0,SOC90_R0,SOC10_R1,SOC50_R1,SOC90_R1,SOC10_R2,SOC50_R2,SOC90_R2
142,A完整,train,20,64.9,64.9,31.0585438970464,30.81057028466588,39.17105536330392,12.423295281660678,11.708018512476096,25.632001582648307,5.210769742454845,4.930497794500825,4.769978463896554
142,A完整,train,21,64.5,64.5,31.56635285452949,31.49456432939742,42.76859997327524,14.838209564106396,11.564172327608073,23.902277263610202,6.703546067730305,5.113137264259073,4.8212972408174375
142,A完整,train,22,64.1,64.1,32.157762283139164,31.942585225260046,41.87303073243882,14.731030205069072,11.885195610422823,26.95001376096257,6.640333575426968,5.165257893170912,4.819537320668962
142,A完整,train,23,63.6,63.6,32.50559291117307,32.48212861624547,33.77348582887747,14.708014303501885,12.05444759603857,36.03435418944435,6.429010819303413,5.17389713638437,4.886885040624095
142,A完整,train,24,63.3,63.3,32.96057984494645,33.004163641523576,41.613050718877595,14.7300547012987,12.105349976809116,30.754650313954265,6.347664398435163,5.234596601351074,4.90896838061379
142,A完整,train,25,62.9,62.9,33.690979062470205,33.71072181385581,33.61263305421312,14.518689418798248,12.067890350602372,41.16539233838895,6.309328719570118,5.2875559132011904,5.137803517995588
142,A完整,train,26,62.8,62.8,34.278265936590884,34.1743972203935,33.08803655955978,14.549080649788262,12.064899712840798,39.95399184365856,6.349440254730946,5.28620358563078,4.971356318380832
142,A完整,train,27,62.4,62.4,34.871316874819634,34.71635953169047,43.38989694504336,14.668343157122889,12.332000061248783,32.81941179993317,6.315726406006805,5.347501678211301,5.039599402724207
142,A完整,train,28,62.1,62.1,35.316798462013274,35.482292703584946,32.87774481615415,14.945236716053309,12.369651409735305,34.70096907692593,6.326005688006786,5.400181880658776,5.143468527390629
142,A完整,train,29,62.0,62.0,36.01773250580938,36.047277695138774,31.62897107670075,14.748339686346819,12.31119859906019,38.50888024410812,6.3547134918586945,5.363056601935759,5.19241554532579
142,A完整,train,30,61.9,61.9,37.888002219509474,36.66843248853622,37.22937649732787,17.676295685821916,12.648369015981604,,6.749653879702993,5.4697686698666175,
146,A完整,train,1,96.3,96.3,20.704211028407613,17.551367132797694,20.63575101962052,16.996564054468386,8.722925077230911,10.215852865883022,11.208224958800624,,
146,A完整,train,2,93.3,93.3,20.753377925849133,18.26984119280864,24.012262278692532,17.278667848689924,8.62678513168895,10.484721544273004,,,
146,A完整,train,3,90.9,90.9,21.21185390020932,19.297020109264665,26.317025041172094,16.912522009529766,8.796268590438052,12.114002366985392,11.47085383099046,,4.22138448385325
146,A完整,train,4,89.0,89.0,21.690127200133457,20.265673714420377,26.205667678642378,17.26473998695083,9.327091108661604,17.185690095785088,11.25169457185629,,4.376601542482695
146,A完整,train,5,87.4,87.4,22.743171479655174,21.15620482779755,29.534591110434945,17.303327764852057,9.509780713123265,15.903015153748221,10.777585294062288,4.368295789810885,4.467920550335499
146,A完整,train,6,86.1,86.1,23.64381965454497,21.75459786691305,31.85851373229724,17.328815254710427,9.56603573456263,16.72528110611762,10.810144323994173,4.308863391791949,4.65659062023099
146,A完整,train,7,85.0,85.0,24.33757286542466,22.563378041928743,29.070828038413616,17.55321468518307,9.394689358147104,22.186510657617127,10.81586253356241,4.4488858537137865,4.847784159518732
146,A完整,train,8,83.9,83.9,25.147989724742157,23.24748356116106,34.24861965488974,17.735781869682,9.936618311579998,20.025867669850697,10.777770865368709,4.453258175586887,4.997685283530177
146,A完整,train,9,82.9,82.9,25.973858524854208,24.01212605241298,34.508591594348246,17.75322314650728,9.980556786094668,22.165520056729434,10.87882354207784,4.514729713026092,5.174213428777736
146,A完整,train,10,82.1,82.1,26.34514008283133,24.800825240655733,29.64379729284372,18.358383147845192,9.929249924901182,29.41467131355919,10.834144768600598,4.538220563858865,5.299968162605917
146,A完整,train,11,81.3,81.3,27.643105594620085,25.355452973012785,27.706411311201418,17.947681067252706,10.373685903492538,33.39760367379748,10.895011927366312,4.602046573999035,5.462437599746846
146,A完整,train,12,80.5,80.5,26.611670894782158,25.366493909592,31.849200059212357,19.82902974165886,10.824226275162854,31.243818516991904,10.891461837234843,4.667846068453656,5.566429912217206
146,A完整,train,13,79.8,79.8,28.711467710775988,26.80107307160793,26.10736745188428,18.551704854184084,10.53567489374041,38.97413599436864,10.904103009239751,4.784318522301219,5.691826212294304
146,A完整,train,14,79.0,79.0,32.562559239934345,32.041135695858664,17.321051152304406,29.97747764942405,11.920178542812929,61.160375211946274,14.705729280478444,5.2419653971115014,5.21713284436251
146,A完整,train,15,78.6,78.6,29.169974317502405,27.464318784946755,33.81937164927849,19.61782066514108,10.785894078431363,34.84083822999236,10.932380713372151,4.7721024003049495,4.6405840990334095
146,A完整,train,16,78.0,78.0,31.174779183477096,28.443322844506124,22.190064589206152,20.29291099063574,10.580589619001039,48.15015446605409,12.352924046186263,4.824532509352064,4.719809931304026
146,A完整,train,17,77.3,77.3,28.762549804327584,28.911117173539054,16.9608835184305,23.951737780280077,10.830779676564884,55.08739483937271,12.469530173082978,4.913469430016405,4.788214522786507
146,A完整,train,18,77.0,77.0,30.370767922439807,29.011572851396764,15.450855361835615,22.420725044193613,11.173331278552936,58.02365220691975,12.417628538671437,4.94344511846756,4.820951092050593
146,A完整,train,19,76.5,76.5,32.15441617883873,29.69205100924472,17.64767742274651,21.425371588508476,11.234556012240033,62.04621061042685,12.410587748455036,4.942442032329384,5.682070159823763
